session_key,PRI,SCI,championship_impact_score
10022,0.4143321870718142,0.015789473684210527,0.21506083037801235
10033,0.4951898799922307,0.015789473684210527,0.2554896768382206
9987,0.41065095053787315,0.023809523809523808,0.2172302371736985
9955,0.4148890014137609,0.03333333333333333,0.2241111673735471
10014,0.38623575758644924,0.042105263157894736,0.214170510372172
10006,0.4461490708314757,0.05789473684210527,0.25202190383679046
9912,0.42123746520621436,0.019047619047619046,0.2201425421269167
9877,0.37204479875697316,0.02857142857142857,0.20030811366420087
9858,0.42585586623001304,0.014285714285714285,0.22007079025786366
9888,0.37202803138443485,0.014285714285714285,0.19315687283507457
9693,0.1942307692307692,0.2605263157894737,0.22737854251012146
9904,0.21557616555407685,0.05238095238095238,0.13397855896751462
9850,0.3758965502253423,0.023809523809523808,0.19985303701743307
9971,0.4571688828227508,0.03333333333333333,0.24525110807804207
9998,0.39932767101777084,0.04736842105263158,0.2233480460352012
9869,0.44554259843488275,0.019047619047619046,0.2322951087412509
9920,0.3998725009996535,0.03333333333333333,0.2166029171664934
9839,0.42571493815754285,0.019047619047619046,0.22238127860258095
9979,0.4069230571033912,0.02857142857142857,0.2177472428374099
9928,0.41458931371558094,0.03333333333333333,0.22396132352445713
9963,0.3239111781106228,0.019047619047619046,0.17147939857912092
9947,0.41398457880063916,0.019047619047619046,0.2165160989241291
9896,0.3824977831309875,0.014285714285714285,0.19839174870835088
9939,0.48462241731790834,0.014285714285714285,0.24945406580181131
