meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1271,9888,1,55,1,5,MEDIUM,0
1271,9888,1,23,1,7,HARD,0
1271,9888,1,5,1,14,SOFT,0
1271,9888,1,16,1,22,SOFT,3
1271,9888,1,31,1,24,HARD,0
1271,9888,1,10,1,27,MEDIUM,0
1271,9888,1,18,1,28,SOFT,0
1271,9888,1,6,1,28,HARD,0
1271,9888,1,22,1,29,MEDIUM,0
1271,9888,1,81,1,30,MEDIUM,0
1271,9888,1,87,1,30,MEDIUM,0
1271,9888,1,14,1,30,MEDIUM,1
1271,9888,1,30,1,30,MEDIUM,0
1271,9888,1,44,1,31,MEDIUM,0
1271,9888,1,12,1,31,MEDIUM,0
1271,9888,1,4,1,32,MEDIUM,0
1271,9888,1,43,1,32,MEDIUM,0
1271,9888,1,1,1,33,MEDIUM,0
1271,9888,1,63,1,33,MEDIUM,0
1271,9888,1,27,1,33,MEDIUM,0
1271,9888,2,23,8,36,MEDIUM,0
1271,9888,2,5,15,36,MEDIUM,0
1271,9888,2,1,34,56,SOFT,2
1271,9888,2,43,33,55,SOFT,2
1271,9888,3,5,37,55,SOFT,0
1271,9888,2,10,28,55,SOFT,2
1271,9888,2,4,33,56,SOFT,6
1271,9888,2,16,23,56,MEDIUM,0
1271,9888,2,44,32,56,SOFT,2
1271,9888,2,81,31,56,SOFT,3
1271,9888,2,63,34,56,SOFT,3
1271,9888,2,22,30,56,SOFT,0
1271,9888,2,27,34,56,SOFT,0
1271,9888,2,87,31,56,SOFT,3
1271,9888,2,14,31,56,SOFT,3
1271,9888,2,30,31,56,SOFT,0
1271,9888,2,18,29,56,MEDIUM,1
1271,9888,2,12,32,56,SOFT,3
1271,9888,3,23,37,56,SOFT,0
1271,9888,2,31,25,56,MEDIUM,0
1271,9888,2,6,29,56,SOFT,0
