date,session_key,pit_duration,stop_duration,lap_number,meeting_key,driver_number,lane_duration
2025-11-23T04:06:24.941000+00:00,9858,21.383,2.5,1,1274,22,21.383
2025-11-23T04:06:49.609000+00:00,9858,33.23,14.2,1,1274,5,33.23
2025-11-23T04:08:21.548000+00:00,9858,21.968,3.1,2,1274,12,21.968
2025-11-23T04:08:33.857000+00:00,9858,23.903,5.2,2,1274,10,23.903
2025-11-23T04:08:42.280000+00:00,9858,32.736,13.1,2,1274,30,32.736
2025-11-23T04:26:53.267000+00:00,9858,23.361,3.9,13,1274,23,23.361
2025-11-23T04:29:02.515000+00:00,9858,30.065,11.3,14,1274,23,30.065
2025-11-23T04:32:00.114000+00:00,9858,21.068,2.5,16,1274,14,21.068
2025-11-23T04:33:13.981000+00:00,9858,20.929,2.2,17,1274,63,20.929
2025-11-23T04:33:38.004000+00:00,9858,21.491,3.1,17,1274,87,21.491
2025-11-23T04:38:22.909000+00:00,9858,21.324,2.9,20,1274,6,21.324
2025-11-23T04:39:54.483000+00:00,9858,21.371,2.7,21,1274,81,21.371
2025-11-23T04:41:15.397000+00:00,9858,21.049,2.5,22,1274,4,21.049
2025-11-23T04:41:30.088000+00:00,9858,21.164,2.6,22,1274,55,21.164
2025-11-23T04:44:43.963000+00:00,9858,21.351,2.7,24,1274,16,21.351
2025-11-23T04:45:59.349000+00:00,9858,21.708,3.0,25,1274,1,21.708
2025-11-23T04:46:56.693000+00:00,9858,22.842,4.0,25,1274,43,22.842
2025-11-23T04:49:49.465000+00:00,9858,22.389,3.2,27,1274,31,22.389
2025-11-23T04:50:08.739000+00:00,9858,20.68,2.2,27,1274,22,20.68
2025-11-23T04:51:50.731000+00:00,9858,21.287,2.4,28,1274,30,21.287
2025-11-23T04:52:53.262000+00:00,9858,21.638,3.1,29,1274,44,21.638
2025-11-23T04:54:29.901000+00:00,9858,22.3,,30,1274,27,22.3
2025-11-23T05:01:52.169000+00:00,9858,29.308,9.9,34,1274,23,29.308
